uuid,channel_no,category,subcategory,callsign,rx_freq_mhz,tx_freq_mhz,offset_mhz,offset_dir,tone_hz,tone_type,dcs_code,bandwidth,mode,country,state,latitude,longitude,altitude_m,power_watts,coverage_radius_km,status,source,last_verified,notes
f4c288ed-b5e8-41e6-b5f5-f78f584ea7f4,RPT-0001,Repeater,FM,9M2RKK,147.9,147.3,0.6,minus,110.9,ctcss,,wide,fm,MYS,KUL,3.1528,101.7038,94,25,50,active,S01/S02,2025-06-01,"Primary KL repeater, Bukit Nenas Tower"
c12f46b0-6870-4ba2-b637-c7ac0b9a5b7a,RPT-0002,Repeater,FM,9M2RKL,147.9,147.3,0.6,minus,110.9,ctcss,,wide,fm,MYS,SGR,3.4167,101.9,1493,50,80,active,S01/S02,2025-06-01,"High-altitude repeater, Genting Highlands area, wide coverage"
28f6276d-5d6c-4aa2-9c6e-e7acb32ef577,RPT-0003,Repeater,FM,9M4RUL,145.725,145.125,0.6,minus,118.8,ctcss,,wide,fm,MYS,KUL,3.139,101.6869,50,25,40,active,S01,2025-06-01,"MARTS coordinated repeater, KL city"
54de3d8d-c43f-4689-a93c-1e34dc8b49c4,RPT-0004,Repeater,FM,9M4RCH,145.675,145.075,0.6,minus,,none,,wide,fm,MYS,SGR,3.0733,101.7383,60,25,35,active,S02,2025-06-01,Cheras area repeater
fad2d0ea-2432-42ff-aa39-fc49232ab3e7,RPT-0005,Repeater,FM,9M4RGP,145.625,145.025,0.6,minus,118.8,ctcss,,wide,fm,MYS,SGR,3.35,101.85,800,50,70,active,S01/S02,2025-06-01,"High-site repeater, covers KL-Selangor valley"
f86b174b-4176-4349-a888-f8897cad305f,RPT-0006,Repeater,FM,9M4RSA,145.75,145.15,0.6,minus,100.0,ctcss,,wide,fm,MYS,SGR,3.0733,101.5183,50,25,30,active,S02,2025-06-01,Shah Alam city coverage
6e328584-65b9-4474-8296-7dccb64a100a,RPT-0007,Repeater,FM,9M4RPJ,145.6,145.0,0.6,minus,,none,,wide,fm,MYS,PJY,2.9264,101.6964,35,15,25,active,S02,2025-06-01,Putrajaya government area
1a3dadc9-5403-4d0d-bdbf-05ed07aa6e3b,RPT-0008,Repeater,FM,9M4RJB,145.7,145.1,0.6,minus,118.8,ctcss,,wide,fm,MYS,JHR,1.4927,103.7414,30,25,40,active,S01/S02,2025-06-01,Primary JB repeater
92369d39-3d22-42a8-a7c4-606cdb29f478,RPT-0009,Repeater,FM,9M4RJH,145.65,145.05,0.6,minus,100.0,ctcss,,wide,fm,MYS,JHR,1.55,103.55,654,50,60,active,S02,2025-06-01,"High-site Johor, wide coverage south peninsula"
b14623ca-4ad0-4053-add3-dfae16397b57,RPT-0010,Repeater,FM,9M4RMT,145.775,145.175,0.6,minus,,none,,wide,fm,MYS,JHR,2.4312,103.8381,15,15,30,unverified,S02,2025-06-01,East coast Johor coverage
1c37827d-9bac-4cd4-ac0d-a88ecf5f0e3a,RPT-0011,Repeater,FM,9M4RKU,145.625,145.025,0.6,minus,118.8,ctcss,,wide,fm,MYS,JHR,2.0333,103.3167,50,25,35,active,S02,2025-06-01,Central Johor
4715304f-be04-4abd-8923-fa06c518f520,RPT-0012,Repeater,FM,9M4RBT,145.725,145.125,0.6,minus,,none,,wide,fm,MYS,JHR,1.8548,102.9328,10,15,25,unverified,S02,2025-06-01,Western Johor
6a95ba33-9ee9-4bda-8863-1ed8a6300cac,RPT-0013,Repeater,FM,9M4RPG,145.625,145.025,0.6,minus,118.8,ctcss,,wide,fm,MYS,PNG,5.4236,100.2653,833,50,70,active,S01/S02,2025-06-01,"Primary Penang repeater, excellent coverage"
072a6f96-4946-441e-a4cd-f15d79659ee7,RPT-0014,Repeater,FM,9M4RPN,145.7,145.1,0.6,minus,100.0,ctcss,,wide,fm,MYS,PNG,5.3633,100.4583,460,25,40,active,S02,2025-06-01,Mainland Penang coverage
931664da-64c3-42f1-92c0-3c2a09fa7234,RPT-0015,Repeater,FM,9M4RIP,145.75,145.15,0.6,minus,118.8,ctcss,,wide,fm,MYS,PRK,4.5975,101.0901,50,25,40,active,S01/S02,2025-06-01,Primary Ipoh repeater
712e4e80-58a2-47bc-9e32-65d32155193d,RPT-0016,Repeater,FM,9M4RKG,145.675,145.075,0.6,minus,,none,,wide,fm,MYS,PRK,4.6833,101.2833,1200,50,80,active,S02,2025-06-01,"High-site Perak, wide coverage"
54b9b0e9-fd86-4f80-91b5-1f323933838a,RPT-0017,Repeater,FM,9M4RTA,145.6,145.0,0.6,minus,100.0,ctcss,,wide,fm,MYS,PRK,4.85,100.7333,20,15,25,active,S02,2025-06-01,Northern Perak coverage
58e83e7c-f60a-4f06-a2c6-1a1f38ea6419,RPT-0018,Repeater,FM,9M4RLK,145.725,145.125,0.6,minus,,none,,wide,fm,MYS,PRK,4.2333,100.6333,5,15,25,unverified,S02,2025-06-01,Coastal Perak
554cc8d9-70f9-4ff7-b11a-58ac16862aaf,RPT-0019,Repeater,FM,9M4RCA,145.65,145.05,0.6,minus,118.8,ctcss,,wide,fm,MYS,PRK,4.4667,101.3833,1500,50,90,active,S01/S02,2025-06-01,"High-altitude repeater, covers central peninsula"
ab4b4003-eada-46c0-9870-e0195204b970,RPT-0020,Repeater,FM,9M4RAS,145.7,145.1,0.6,minus,118.8,ctcss,,wide,fm,MYS,KDH,6.1248,100.3678,10,25,35,active,S01/S02,2025-06-01,Primary Kedah repeater
79c726e4-b190-402a-a3f1-88361da729a1,RPT-0021,Repeater,FM,9M4RLG,145.625,145.025,0.6,minus,,none,,wide,fm,MYS,KDH,5.7833,100.4333,1217,50,80,active,S02,2025-06-01,"High-site Kedah, wide coverage north"
cbb6fdff-c946-41ee-9f4d-ca5d6ba748a8,RPT-0022,Repeater,FM,9M4RKA,145.65,145.05,0.6,minus,,none,,wide,fm,MYS,PLS,6.4414,100.1986,20,15,25,active,S02,2025-06-01,Perlis state repeater
