uuid,channel_no,category,subcategory,callsign,rx_freq_mhz,tx_freq_mhz,offset_mhz,offset_dir,tone_hz,tone_type,dcs_code,bandwidth,mode,country,state,latitude,longitude,altitude_m,power_watts,coverage_radius_km,status,source,last_verified,notes
549f6ded-741a-4360-88fa-6aba70abadd1,MAR-0083,Marine,Distress/Safety,,156.8,156.8,0.0,none,,none,,narrow,fm,INT,,,,,1,,active,S04,2026-07-01,"Ch 16: International distress, safety, and calling channel. Mandatory watch on all vessels."
daf999f6-9e4e-4f8c-848f-ef7a6ea8cbda,MAR-0084,Marine,Distress/Safety,,156.525,156.525,0.0,none,,none,,narrow,fm,INT,,,,,1,,active,S04,2026-07-01,Ch 70: Digital distress alerting. RX only for monitoring.
d8d3880c-b9a2-4adb-814e-2bb4b843fd51,MAR-0085,Marine,Port Operations,,156.55,156.55,0.0,none,,none,,narrow,fm,INT,,,,,1,,active,S04,2026-07-01,Ch 11: VTS communications
ddc8aa85-6afb-4e20-89c6-9cd779f51550,MAR-0086,Marine,Port Operations,,156.6,156.6,0.0,none,,none,,narrow,fm,INT,,,,,1,,active,S04,2026-07-01,"Ch 12: Port operations, pilot coordination"
f63fb15e-a38e-475e-9897-b54e6b8de375,MAR-0087,Marine,Port Operations,,156.7,156.7,0.0,none,,none,,narrow,fm,INT,,,,,1,,active,S04,2026-07-01,Ch 14: Port operations
4de09f23-a52a-4977-a72d-14d25c17d751,MAR-0088,Marine,Port Operations,,156.9,161.5,4.6,plus,,none,,narrow,fm,INT,,,,,25,,active,S04,2026-07-01,Ch 18: Port operations duplex
eab03756-6990-4761-86de-eb68d617fd7f,MAR-0089,Marine,Port Operations,,156.95,161.55,4.6,plus,,none,,narrow,fm,INT,,,,,25,,active,S04,2026-07-01,Ch 19: Port operations duplex
bfd9aa9c-2561-4e43-a843-d7bd4922b9c2,MAR-0090,Marine,Port Operations,,157.0,161.6,4.6,plus,,none,,narrow,fm,INT,,,,,25,,active,S04,2026-07-01,Ch 20: Port operations duplex
f157aa38-d09d-4db3-82eb-434873046b91,MAR-0091,Marine,Port Operations,,156.675,156.675,0.0,none,,none,,narrow,fm,INT,,,,,1,,active,S04,2026-07-01,Ch 73: Port operations simplex
9a661504-88d7-41e1-846f-45f55f38e1e9,MAR-0092,Marine,Port Operations,,156.725,156.725,0.0,none,,none,,narrow,fm,INT,,,,,1,,active,S04,2026-07-01,Ch 74: Port operations simplex
